,titles,authors,dates
421,On Car Seats as Contraception,Zvi,1mo
422,"AI art isn't ""about to shake things up"". It's already here.",Davis_Kingsley,1mo
423,What if we solve AI Safety but no one caresQ,142857,1mo
424,AXRP Episode 17 - Training for Very High Reliability with Daniel ZieglerΩ,DanielFilan,1mo
425,Stable Diffusion has been released,P.,1mo
426,Is there a Lesswrong newsletter I can subscribe to?Q,iamef,1mo
427,"Ways to increase working memory, and/or cope with low working memory?Q",NicholasKross,1mo
428,The Alignment Problem Needs More Positive Fiction,Netcentrica,1mo
429,The Bunny: An EA Short Story,JohnGreer,1mo
430,Beyond Hyperanthropomorphism,PointlessOne,1mo
431,"If you know you are unlikely to change your mind, should you be lazier when researching?Q",Double,1mo
432,Pivotal acts using an unaligned AGI?,Simon Fischer,1mo
433,My Plan to Build Aligned Superintelligence,apollonianblues,1mo
434,Embracing the Opposition's Point,Yulia,1mo
435,How evolution succeeds and fails at value alignment,Ocracoke,1mo
436,"A First Attempt to Dissolve ""Is Consciousness Reducible?""",DragonGod,1mo
437,Volunteer to host a meetup!,mingyuan,1mo
438,What are the Limits on Computability?Q,DragonGod,1mo
439,Review: Amusing Ourselves to Death,LRudL,1mo
440,"Paper is published! 100,000 lumens to treat seasonal affective disorder",Fabienne,1mo
441,What's the Least Impressive Thing GPT-4 Won't be Able to Do,Algon,1mo
442,Are you allocated optimally in your own estimation?Q,Emrik,1mo
443,Broad Picture of Human ValuesΩ,Thane Ruthenis,1mo
444,"So, I Want to Be a ""Thinkfluencer""",DragonGod,1mo
445,The 'Bitter Lesson' is Wrong,deepthoughtlife,1mo
446,Refine's Second Blog Post DayΩ,adamShimi,1mo
447,No One-Size-Fit-All Epistemic StrategyΩ,adamShimi,1mo
448,What if we approach AI safety like a technical engineering safety problemΩ,zeshen,1mo
449,"Vague concepts, family resemblance and cluster properties ",Q Home,1mo
450,PreDCA: vanessa kosoy's alignment protocolΩ,carado,1mo
451,Benchmarking Proposals on Risk ScenariosΩ,Paul Bricman,1mo
452,[About Me] Cinera's Home Page,DragonGod,1mo
453,The Loire Is Not Dry,jefftk,1mo
454,"How to do theoretical research, a personal perspectiveΩ",Mark Xu,1mo
455,Can You Upload Your Mind & Live Forever? From Kurzgesagt - In a Nutshell,Noosphere89,1mo
456,"Guided Consumption Theory: A Virtuous Dance between Altruistic Agents, Economic Discriminators, and Opportunistic Helpers",Brad West ,1mo
457,Epistemic Artefacts of (conceptual) AI alignment researchΩ,Nora_Ammann,1mo
458,AI Safety bounty for practical homomorphic encryption,acylhalide,1mo
459,"Statistics for vague concepts and ""Colors"" of places",Q Home,1mo
460,Are language models close to the superhuman level in philosophy?Q,Roman Leventov,1mo
461,What does moral progress consist of?,jasoncrawford,1mo
462,Introducing the Existential Risks Introductory Course (ERIC),"TheMcDouglas, Nandini Shiralkar",1mo
463,Alignment's phlogiston ,Eleni Angelou,1mo
464,A conversation about progress and safety,jasoncrawford,1mo
465,Discovering AgentsΩ,zac_kenton,1mo
466,Oops It's Time To Overthrow the Organizer Day!,Screwtape,1mo
467,Bias towards simple functions; application to alignment? ,DavidHolmes,1mo
468,In Defense Of Making Money,George3d6,1mo
469,Playing Without Affordances,Alex Hollow,1mo
470,Goal-directedness: relativising complexity,Morgan_Rogers,1mo
471,Matt Yglesias on AI Policy,Grant Demaree,1mo
472,Announcing the Distillation for Alignment Practicum (DAP),"Jonas Hallgren, TheMcDouglas",1mo
473,What Games These Days?,jefftk,1mo
474,Covid 8/18/22: CDC Admits Mistakes,Zvi,1mo
475,What's up with the bad Meta projects?,Yitz,1mo
476,"Announcing Encultured AI: 
Building a Video GameΩ","Andrew_Critch, Nick Hay",1mo
477,Spoons and Myofascial Trigger Points,vitaliya,1mo
478,Concrete Advice for Forming Inside Views on AI SafetyΩ,Neel Nanda,1mo
479,"Progress links and tweets, 2022-08-17",jasoncrawford,1mo
480,"Conditioning, Prompts, and Fine-TuningΩ",Adam Jermyn,1mo
481,The Core of the Alignment Problem is...Ω,"Thomas Larsen, Jeremy Gillen, JamesH",1mo
482,Could the simulation argument also apply to dreams?Q,Nathan1123,1mo
483,Interpretability Tools Are an Attack Channel,Thane Ruthenis,1mo
484,Human Mimicry Mainly Works When We’re Already CloseΩ,johnswentworth,1mo
485,Thoughts on 'List of Lethalities',Alex Lawsen ,1mo
486,The longest training runΩ,"Jsevillamol, Tamay, Owen Dudney, anson.ho",1mo
487,Autonomy as taking responsibility for reference maintenanceΩ,Ramana Kumar,1mo
488,Insufficient awareness of how everything sucks,Flaglandbase,1mo
489,Mesa-optimization for goals defined only within a training environment is dangerous,Rubi,1mo
490,Spoiler-Free Review: Across the Obelisk,Zvi,1mo
491,Duplicating Rasberry Pi Images,jefftk,1mo
492,My thoughts on direct work (and joining LessWrong),RobertM,1mo
493,We can make the future a million years from now go better [video],Writer,1mo
494,The Open Society and Its Enemies: Summary and Thoughts,matto,1mo
495,An introduction to signalling theory,Mvolz,1mo
496,Understanding differences between humans and intelligence-in-general to build safe AGI,Florian_Dietz,1mo
497,Against population ethics,jasoncrawford,1mo
498,Deception as the optimal: mesa-optimizers and inner alignment  ,Eleni Angelou,1mo
499,Crowdsourcing Anki Decks,Arden P. B. Wiese,1mo
500,What Makes an Idea Understandable? On Architecturally and Culturally Natural Ideas. ,"NickyP, Peter S. Park, Stephen Fowler",1mo
501,Dwarves & D.Sci: Data Fortress Evaluation & Ruleset,aphyer,1mo
502,I’m mildly skeptical that blindness prevents schizophrenia,Steven Byrnes,1mo
503,"What's General-Purpose Search, And Why Might We Expect To See It In Trained ML Systems?Ω",johnswentworth,1mo
504,"""What Mistakes Are You Making Right Now?""",David Udell,1mo
505,Limits of Asking ELK if Models are Deceptive,Oam Patel,1mo
506,On Preference Manipulation in Reward Learning Processes,Felix Hofstätter,1mo
507,Capital and inequality ,NathanBarnard,1mo
508,Are there practical exercises for developing the Scout mindset?Q,ChristianKl,1mo
509,The Parable of the Boy Who Cried 5% Chance of Wolf,KatWoods,1mo
510,Extreme Security,lc,1mo
511,No shortcuts to knowledge: Why AI needs to ease up on scaling and learn how to code,Yldedly,1mo
512,A Mechanistic Interpretability Analysis of GrokkingΩ,"Neel Nanda, Tom Lieberum",5d
513,If a nuke is coming towards SF Bay can people bunker in BART tunnels?Q,"DonyChristie, rhollerith_dot_com",1mo
514,How do you get a job as a software developer?Q,"lsusr, Dagon",1mo
515,And the Revenues Are So Small,Zvi,1mo
516,Seeking Interns/RAs for Mechanistic Interpretability ProjectsΩ,Neel Nanda,1mo
517,"What is the probability that a superintelligent, sentient AGI is actually infeasible?Q",Nathan1123,1mo
518,Dealing With Delusions,adrusi,1mo
519,All the posts I will never writeΩ,Self-Embedded Agent,1mo
520,AI Transparency: Why it’s critical and how to obtain it.,Zohar Jackson,1mo
521,A brief note on Simplicity BiasΩ,Spencer Becker-Kahn,1mo
522,"Brain-like AGI project ""aintelope"" Ω",Gunnar_Zarncke,1mo
523,Evolution is a bad analogy for AGI: inner alignmentΩ,Quintin Pope,1mo
524,An Uncanny Prison,Nathan1123,1mo
525,Cultivating Valiance,Shos Tekofsky,1mo
526,An extended rocket alignment analogyΩ,remember,1mo
527,What is an agent in reductionist materialism?Q,Valentine,1mo
528,Refine's First Blog Post DayΩ,adamShimi,1mo
529,The Dumbest Possible Gets There FirstΩ,Artaxerxes,1mo
530,I missed the crux of the alignment problem the whole timeΩ,zeshen,1mo
531,goal-program bricksΩ,carado,1mo
532,Shapes of Mind and Pluralism in AlignmentΩ,adamShimi,1mo
533,How I think about alignmentΩ,Linda Linsefors,1mo
534,Steelmining via AnalogyΩ,Paul Bricman,1mo
535,the Insulated Goal-Program ideaΩ,carado,1mo
536,Appendix: Jargon Dictionary,CFAR!Duncan,1mo
537,Florida Elections,Double,1mo
538,The OpenAI playground for GPT-3 is a terrible interface. Is there any great local (or web) app for exploring/learning with language models?Q,aviv,1mo
539,Infant AI Scenario,Nathan1123,1mo
540,DeepMind alignment team opinions on AGI ruin argumentsΩ,Vika,8d
541,Dissolve: The Petty Crimes of Blaise Pascal,JohnBuridan,1mo
542,What is estimational programming? Squiggle in context,Quinn,1mo
543,Oversight Misses 100% of Thoughts The AI Does Not ThinkΩ,johnswentworth,1mo
544,Timelines explanation post part 1 of ?,Nathan Helm-Burger,1mo
545,A little playing around with Blenderbot3,Nathan Helm-Burger,1mo
546,Refining the sharp left turn threat modelΩ,"Vika, Vikrant Varma, Ramana Kumar, Mary Phuong",1mo
547,Argument by Intellectual Ordeal,lc,1mo
548,Anti-squatted AI x-risk domains index,plex,1mo
549,What kind of moral framework would you spread if you could decide? ,NinaR,1mo
550,What are some good arguments against building new nuclear power plants?Q,RomanS,1mo
551,Seeking PCK (Pedagogical Content Knowledge),CFAR!Duncan,1mo
552,Artificial intelligence wireheading,Big Tony,1mo
553,The Host Minds of HBO's Westworld.,Nerret,1mo
554,Perfect PredictorsQ,aditya malik,1mo
555,"Seriously, what goes wrong with ""reward the agent when it makes you smile""?QΩ","TurnTrout, johnswentworth",1mo
556,"Encultured AI Pre-planning, Part 2: 
Providing a ServiceΩ","Andrew_Critch, Nick Hay",1mo
557,My summary of the alignment problem,Peter Hroššo,1mo
558,Language models seem to be much better than humans at next-token predictionΩ,"Buck, Fabien, LawrenceC",1mo
559,Introducing Pastcasting: A tool for forecasting practice,Sage Future,1mo
560,"Pendulums, Policy-Level Decisionmaking, Saving State",CFAR!Duncan,1mo
561,Thoughts on the good regulator theorem,JonasMoss,1mo
562,How and why to turn everything into audio,"KatWoods, AmberDawn",1mo
563,Shard Theory: An OverviewΩ,David Udell,1mo
564,Do advancements in Decision Theory point towards moral absolutism?Q,Nathan1123,1mo
565,Covid 8/11/22: The End Is Never The End,Zvi,1mo
566,The alignment problem from a deep learning perspectiveΩ,Richard_Ngo,1mo
567,How much alignment data will we need in the long run?Ω,Jacob_Hilton,1mo
568,Formalizing Alignment,Marv K,1mo
569,"How Do We Align an AGI Without Getting Socially Engineered? 
(Hint: Box It)Ω","Peter S. Park, NickyP, Stephen Fowler",1mo
570,Emergent Abilities of Large Language Models [Linkpost],aogara,1mo
571,How To Go From Interpretability To Alignment: Just Retarget The SearchΩ,johnswentworth,1mo
572,Using GPT-3 to augment human intelligence,Henrik Karlsson,1mo
573,Dissent Collusion,Screwtape,2mo
574,"On Ego,  Reincarnation, Consciousness and The Universe ",qmaury,1mo
575,The Medium Is The Bandage,party girl,2mo
576,Why is increasing public awareness of AI safety not a priority?Q,FinalFormal2,2mo
577,Proposal: Consider not using distance-direction-dimension words in abstract discussions,moridinamael,2mo
578,"How would two superintelligent AIs interact, if they are unaligned with each other?Q",Nathan1123,2mo
579,"Disagreements about Alignment: Why, and how, we should try to solve them",ojorgensen,2mo
580,"Progress links and tweets, 2022-08-09",jasoncrawford,2mo
581,Content generation. Where do we draw the line?,Q Home,2mo
582,What are some alternatives to Shapley values which drop additivity?Q,eapi,2mo
583,Team Shard Status Report,David Udell,2mo
584,Announcing: Mechanism Design for AI Safety - Reading GroupΩ,Rubi,2mo
585,"What are some Works that might be useful but are difficult, so forgotten?
Q",TekhneMakre,2mo
586,"Project proposal: Testing the IBP definition of agent
","Jeremy Gillen, Thomas Larsen, JamesH",2mo
587,How (not) to choose a research project,"Garrett Baker, CatGoddess, Johannes C. Mayer",2mo
588,"Are ya winning, son?Q",Nathan1123,2mo
589,Manifold x CSPI $25k Forecasting Tournament,David Chee,2mo
590,Is it possible to find venture capital for AI research org with strong safety focus?Q,AnonResearch,2mo
591,Many Gods refutation and Instrumental Goals. (Proper one)Q,aditya malik,2mo
592,Radio Bostrom: Audio narrations of papers by Nick Bostrom,PeterH,2mo
593,"Encultured AI, Part 1 Appendix: Relevant Research ExamplesΩ","Andrew_Critch, Nick Hay",2mo
594,"Encultured AI Pre-planning, Part 1: 
Enabling New BenchmarksΩ","Andrew_Critch, Nick Hay",2mo
595,Broad Basins and Data Compression,"Jeremy Gillen, Stephen Fowler, Thomas Larsen",2mo
596,Interpretability/Tool-ness/Alignment/Corrigibility are not ComposableΩ,johnswentworth,2mo
597,A sufficiently paranoid paperclip maximizer,RomanS,2mo
598,Instrumental Goals and Many Gods Refutation Q,aditya malik,2mo
599,"Area under the curve, Eat Dirt, Broccoli Errors, Copernicus & Chaos",CFAR!Duncan,2mo
600,Steganography in Chain of Thought ReasoningΩ,A Ray,2mo
601,How Deadly Will Roughly-Human-Level AGI Be?,David Udell,2mo
602,Experiment: Be my math tutor? ,sudo -i,2mo
603,"Complexity No Bar to AI (Or, why Computational Complexity doesn't matter for real life problems)",Noosphere89,2mo
604,The lessons of Xanadu,jasoncrawford,2mo
605,Careful with Caching,jefftk,2mo
606,How would Logical Decision Theories address the Psychopath Button?Q,Nathan1123,2mo
607,Jack Clark on the realities of AI policy,Kaj_Sotala,2mo
608,Expected (Social) Value,algrthms,2mo
609,"Lamentations, Gaza and Empathy",Yair Halberstadt,2mo
610,Paper reading as a Cargo Cult,jem-mosig,2mo
611,Most Ivy-smart students aren't at Ivy-tier schools,Aaron Bergman,2mo
612,Do meta-memes and meta-antimemes exist? e.g. 'The map is not the territory' is also a map,M. Y. Zuo,2mo
613,Can we get full audio for Eliezer's conversation with Sam Harris?Q,jskatt,2mo
614,Newcombness of the Dining Philosophers Problem,Nathan1123,2mo
615,Dwarves & D.Sci: Data Fortress,aphyer,2mo
616,A Deceptively Simple Argument in favor of Problem Factorization,Logan Zoellner,2mo
617,A Data limited futureΩ,Donald Hobson,2mo
618,Six weeks doesn’t make a habit ,lynettebye,2mo
619,Why I Am Skeptical of AI Regulation as an X-Risk Mitigation Strategy,A Ray,2mo
620,My advice on finding your own path,A Ray,2mo
621,Metaculus and medians,rossry,2mo
622,Announcing the Introduction to ML Safety courseΩ,"Dan Hendrycks, ThomasW, Oliver Zhang",2mo
623,"«Boundaries», Part 2: trends in EA's handling of boundaries",Andrew_Critch,2mo
624,[AMA] Announcing Open Phil’s University Group Organizer and Century Fellowships [x-post],"abergal, ClaireZabel",2mo
625,Boston Rents Over Time II,jefftk,2mo
626,PredictIt is closing due to CFTC changing its mind,eigen,2mo
627,"""Just hiring people"" is sometimes still actually possible",lc,2mo
628,The need for certainty,Thomas McMurtry,2mo
629,Rant on Problem Factorization for AlignmentΩ,johnswentworth,2mo
630,Counterfactuals are Confusing because of an Ontological ShiftΩ,Chris_Leong,2mo
631,"Gears-Level Understanding, Deliberate Performance, The Strategic Level",CFAR!Duncan,2mo
632,Post-mortem?Q,gwern,2mo
633,Where are the red lines for AI?,Karl von Wendt,2mo
634,Bridging Expected Utility Maximization and OptimizationΩ,Whispermute,2mo
635,Deontology and Tool AI,Nathan1123,2mo
636,An attempt to understand the Complexity of Values,Dalton Mabery,2mo
637,"What drives progress, theory or application?Q",berglund,2mo
638,The Falling Drill,Screwtape,2mo
639,Convergence Towards World-Models: A Gears-Level ModelΩ,Thane Ruthenis,2mo
640,$20K In Bounties for AI Safety Public MaterialsΩ,"Dan Hendrycks, ThomasW, Oliver Zhang",2mo
641,Two Kids Crosswise,jefftk,2mo
642,Cambist Booking,Screwtape,2mo
643,Calibration Trivia,Screwtape,2mo
644,Monthly Shorts 7/22,Celer,2mo
645,The Pragmascope IdeaΩ,johnswentworth,2mo
646,Running a Basic Meetup,Screwtape,2mo
647,"Fiber arts, mysterious dodecahedrons, and waiting on “Eureka!”",eukaryote,2mo
648,"Would ""Manhattan Project"" style be beneficial or deleterious for AI Alignment?Q",Just Learning,2mo
649,AI alignment: Would a lazy self-preservation instinct be sufficient?Q,BrainFrog,2mo
650,"Socratic Ducking, OODA Loops, Frame-by-Frame Debugging",CFAR!Duncan,2mo
651,What do ML researchers think about AI in 2022?,KatjaGrace,2mo
652,Interpretability isn’t Free,Joel Burget,2mo
653,"High Reliability Orgs, and AI Companies",Raemon,2mo
654,"Surprised by ELK report's counterexample to Debate, IDA",Evan R. Murphy,2mo
655,Covid 8/4/22: Rebound,Zvi,2mo
656,Clapping Lower,jefftk,2mo
657,"How do I know if my first post should be a post, or a question?Q",Nathan1123,2mo
658,Precursor checking for deceptive alignmentΩ,evhub,2mo
659,Transformer language models are doing something more general,Numendil,2mo
660,Some doubts about Non Superintelligent AIsQ,aditya malik,2mo
661,Announcing Squiggle: Early Access,ozziegooen,2mo
662,Survey: What (de)motivates you about AI risk?,Daniel_Friedrich,2mo
663,Externalized reasoning oversight: a research direction for language model alignmentΩ,tamera,2mo
664,How does one recognize information and differentiate it from noise? Q,M. Y. Zuo,2mo
665,Law-Following AI 4: Don't Rely on Vicarious LiabilityΩ,Cullen_OKeefe,2mo
666,Two-year update on my personal AI timelinesΩ,Ajeya Cotra,2mo
667,My takeaways from the EA In-depth 4th week discussion: Animal Welfare,Kriz Royce Tahimic,2mo
668,Open & Welcome Thread - Aug/Sep 2022,Thomas,2mo
669,What are the Red Flags for Neural Network Suffering? - Seeds of Science call for reviewers,rogersbacon,2mo
670,Againstness,CFAR!Duncan,2mo
671,(Summary) Sequence Highlights - Thinking Better on Purpose,qazzquimby,2mo
672,"Progress links and tweets, 2022-08-02",jasoncrawford,2mo
673,Thinking without priors?,Q Home,2mo
674,Turbocharging,CFAR!Duncan,2mo
675,"I want to donate some money (not much, just what I can afford) to AGI Alignment research, to whatever organization has the best chance of making sure that AGI goes well and doesn't kill us all. What are my best options, where can I make the most difference per dollar?Q","lumenwrites, Richard_Ngo",2mo
676,Would quantum immortality mean subjective immortality?Q,n0ah,2mo
677,Letter from leading Soviet Academicians to party and government leaders of the Soviet Union regarding signs of decline and structural problems of the economic-political system (1970),M. Y. Zuo,2mo
678,Is there any writing about prompt engineering for humans?Q,Alex Hollow,2mo
679,Meditation course claims 65% enlightenment rate: my review,KatWoods,2mo
680,Which intro-to-AI-risk text would you recommend to...Q,Sherrinford,2mo
681,"Polaris, Five-Second Versions, and Thought Lengths",CFAR!Duncan,2mo
682,"A Word is Worth 1,000 Pictures",Kully,2mo
683,On akrasia: starting at the bottom,seecrow,2mo
684,How likely do you think worse-than-extinction type fates to be?Q,span1,2mo
685,Don't be a Maxi,Cole Killian,2mo
686,Technical AI Alignment Study Group,Eric K,2mo
687,Abstraction sacrifices causal clarity,Marv K,2mo
688,Time-logging programs and/or spreadsheets (2022),mikbp,2mo
689,Conservatism is a rational response to epistemic uncertainty,contrarianbrit,2mo
690,Perverse Independence Incentives,jefftk,2mo
691,Wanted: Notation for credal resilience,PeterH,2mo
692,Anatomy of a Dating Document,squidious,2mo
693,chinchilla's wild implicationsΩ,nostalgebraist,2mo
694,Wolfram Research v Cook,Kenny,2mo
695,AGI-level reasoner will appear sooner than an agent; what the humanity will do with this reasoner is critical,Roman Leventov,2mo
696,Writing this post as rationality case study,Ben Amitay,2mo
697,How transparency changed over timeΩ,ViktoriaMalyasova,2mo
698,Drexler’s Nanotech Forecast,PeterMcCluskey,2mo
699,What job should I do?Q,Tom Paine,2mo
700,Translating between Latent Spaces,"JamesH, Jeremy Gillen, NickyP",2mo
701,Humans Reflecting on HRHΩ,leogao,2mo
702,Comparing Four Approaches to Inner AlignmentΩ,Lucas Teixeira,2mo
703,Questions for a Theory of Narratives,Marv K,2mo
704,Focusing,CFAR!Duncan,2mo
705,Abstracting The Hardness of Alignment: Unbounded Atomic OptimizationΩ,adamShimi,2mo
706,Bucket Errors,CFAR!Duncan,2mo
707,Distillation Contest - Results and Recap,Aris,2mo
708,The generalized Sierpinski-Mazurkiewicz theorem.,Donald Hobson,2mo
709,Conjecture: Internal Infohazard PolicyΩ,"Connor Leahy, Sid Black, Chris Scammell, Andrea_Miotti",2mo
710,The Conversations We Make Space For,Severin T. Seehrich,2mo
711,Defining Optimization in a Deeper Way Part 4,Jemist,2mo
712,"For Better Commenting, Stop Out Loud",AllAmericanBreakfast,2mo
713,"Announcing the AI Safety Field Building Hub, a new effort to provide AISFB projects, mentorship, and funding",Vael Gates,2mo
714,Covid 7/28/22: Ruining It For Everyone,Zvi,2mo
715,Monkeypox Post #2,Zvi,2mo
716,Seeking beta readers who are ignorant of biology but knowledgeable about AI safety,Holly_Elmore,2mo
717,Principles of Privacy for Alignment ResearchΩ,johnswentworth,2mo
718,Moral strategies at different capability levelsΩ,Richard_Ngo,2mo
719,"Progress links and tweets, 2022-07-27",jasoncrawford,2mo
720,Quantum Advantage in Learning from Experiments,Dennis Towne,2mo
721,Levels of PluralismΩ,adamShimi,2mo
722,Human trials for the Marburg vaccine: funding opportunity?,americanwalrus,2mo
723,“Fanatical” Longtermists: Why is Pascal’s Wager wrong?Q,Yitz,2mo
724,Unifying Bargaining Notions (2/2)Ω,Diffractor,2mo
725,AGI ruin scenarios are likely (and disjunctive)Ω,So8res,2mo
726,Technocracy and the Space Age,jasoncrawford,2mo
727,"«Boundaries», Part 1: a key missing concept from utility theoryΩ",Andrew_Critch,2mo
728,Incoherence of unbounded selfishness,emmab,2mo
729,«Boundaries» Sequence (Index Post),Andrew_Critch,2mo
730,Active Inference as a formalisation of instrumental convergenceΩ,Roman Leventov,2mo
731,NeurIPS ML Safety Workshop 2022Ω,Dan Hendrycks,2mo
732,Utility functions and probabilities are entangled,Thomas Kwa,2mo
733,Alignment being impossible might be better than it being really difficult,Martín Soto,2mo
734,AI ethics vs AI alignment,Wei_Dai,2mo
735,How Promising is Theoretical Research on Rationality? Seeking Career Advice,Aspirant223,2mo
736,How optimistic should we be about AI figuring out how to interpret itself?Q,oh54321,2mo
737,Protectionism in One Country: How Industrial Policy Worked in Canada,Davis Kedrosky,2mo
738,Mistakes as agency,pchvykov,2mo
739,My Bitcoin Thesis @2022 - Part 1,aysajan,2mo
740,The Reader's Guide to Optimal Monetary Policy,Ege Erdil,2mo
741,AGI Safety Needs People With All Skillsets!,Severin T. Seehrich,2mo
742,Opening Session Tips & Advice,CFAR!Duncan,2mo
743,How much should we worry about mesa-optimization challenges?,sudo -i,2mo
744,Does agent foundations cover all future ML systems?Q,Jonas Hallgren,2mo
745,Unifying Bargaining Notions (1/2)Ω,Diffractor,16d
746,Reward is not the optimization targetΩ,TurnTrout,2mo
747,Brainstorm of things that could force an AI team to burn their leadΩ,So8res,2mo
748,Is there any evidence that handwashing does anything to prevent COVID?Q,mukashi,2mo
749,Finding Skeletons on Rashomon Ridge,"David Udell, Peter S. Park, NickyP",2mo
750,Gathering Information you won't use directly is often useful,Johannes C. Mayer,2mo
751,"Impact of "" 'Let's think step by step' is all you need""?Q",yrimon,2mo
752,The Most Important Century: The Animation,"Writer, Matthew Barnett",2mo
753,Hiring Programmers in Academia,jefftk,2mo
754,Relationship between subjective experience and intelligence?,Q Home,2mo
755,Double Crux,CFAR!Duncan,2mo
756,Example Meetup Description,Julius,2mo
757,Eavesdropping on Aliens: A Data Decoding Challenge,anonymousaisafety,2mo
758,"Information theoretic model analysis may not lend much insight, but we may have been doing them wrong!",Garrett Baker,2mo
759,What's next for instrumental rationality?,Andrew_Critch,2mo
760,Easy guide for running a local Rationality meetup,Nikita Sokolsky,2mo
761,"Curating ""The Epistemic Sequences"" (list v.0.1)",Andrew_Critch,2mo
762,A Bias Against Altruism,Conor Sullivan,2mo
763,What Environment Properties Select Agents For World-Modeling?,Thane Ruthenis,2mo
764,Which singularity schools plus the no singularity school was right?,Noosphere89,2mo
765,Basic Post Scarcity Q&A,Lorenzo Rex,2mo
766,Robustness to Scaling Down: More Important Than I ThoughtΩ,adamShimi,2mo
767,Eating Boogers,George3d6,2mo
768,"On Akrasia, Habits and Reward Maximization",Aiyen,2mo
769,Which values are stable under ontology shifts?,Richard_Ngo,2mo
770,Trying out Prompt Engineering on TruthfulQA,Megan Kinniment,2mo
771,"Symbolic distillation, Diffusion, Entropy, Replicators, Agents, oh my (a mid-low quality thinking out loud post)",the gears to ascenscion,2mo
772,Room Opening,jefftk,2mo
773,"Connor Leahy on Dying with Dignity, EleutherAI and Conjecture",Michaël Trazzi,2mo
774,Wyclif's Dust: the missing chapter,David Hugh-Jones,2mo
775,Making DALL-E Count,AllAmericanBreakfast,2mo
776,Internal Double Crux,CFAR!Duncan,2mo
777,One-day applied rationality workshop in Berlin Aug 29 (after LWCW),Duncan_Sabien,2mo
778,Conditioning Generative Models with RestrictionsΩ,Adam Jermyn,2mo
779,Our Existing Solutions to AGI Alignment (semi-safe),Michael Soareverix,2mo
780,Changing the world through slack & hobbies,Steven Byrnes,1mo
781,Which personalities do we find intolerable?,weathersystems,2mo
782,YouTubeTV and Spoilers,Zvi,2mo
783,How much to optimize for the short-timelines scenario?Q,SoerenMind,2mo
784,Is Gas Green?,ChristianKl,2mo
785,Why are politicians polarized?,ErnestScribbler,2mo
786,[AN #173] Recent language model results from DeepMindΩ,Rohin Shah,2mo
787,Don't take the organizational chart literally,lc,2mo
788,Personal forecasting retrospective: 2020-2022,elifland,2mo
789,Covid 7/21/22: Featuring ASPR,Zvi,2mo
790,Defining Optimization in a Deeper Way Part 3,Jemist,2mo
791,Cognitive Risks of Adolescent Binge Drinking,"Elizabeth, Martin Bernstorff",2mo
792,Why AGI Timeline Research/Discourse Might Be Overrated,Noosphere89,2mo
793,Enlightenment Values in a Vulnerable World,Maxwell Tabarrok,2mo
794,Countering arguments against working on AI safety,Rauno Arike,2mo
795,A Short Intro to Humans,Ben Amitay,2mo
796,How to Diversify Conceptual Alignment: the Model Behind RefineΩ,adamShimi,2mo
797,AI Safety Cheatsheet / Quick Reference,Zohar Jackson,2mo
798,What are the simplest questions in applied rationality where you don't know the answer to? Q,ChristianKl,2mo
799,Getting Unstuck on Counterfactuals,Chris_Leong,2mo
800,Pitfalls with Proofs,scasper,2mo
801,A daily routine I do for my AI safety research work,scasper,2mo
802,"Progress links and tweets, 2022-07-19",jasoncrawford,2mo
803,Abram Demski's ELK thoughts and proposal - distillationΩ,Rubi,2mo
804,Bounded complexity of solving ELK and its implicationsΩ,Rubi,2mo
805,A Critique of AI Alignment Pessimism,ExCeph,2mo
806,Ars D&D.Sci: Mysteries of Mana Evaluation & Ruleset,aphyer,2mo
807,Marburg Virus Pandemic Prediction Checklist,AllAmericanBreakfast,2mo
808,Applications are open for CFAR workshops in Prague this fall!,JohnSteidley,2mo
809,Sexual Abuse attitudes might be infohazardous,Pseudonymous Otter,2mo
810,Spending Update 2022,jefftk,2mo
811,Help ARC evaluate capabilities of current language models (still need people)Ω,Beth Barnes,2mo
812,At what point will we know if Eliezer’s predictions are right or wrong? ,anonymous123456,2mo
813,Modelling Deception,Garrett Baker,2mo
814,Are Intelligence and Generality Orthogonal?,cubefox,2mo
815,"Without specific countermeasures, the easiest path to transformative AI likely leads to AI takeoverΩ",Ajeya Cotra,2mo
816,Turning Some Inconsistent Preferences into Consistent Ones,niplav,2mo
817,Machine Learning Model Sizes and the Parameter Gap [abridged],Pablo Villalobos,2mo
818,Quantilizers and Generative ModelsΩ,Adam Jermyn,2mo
819,AI Hiroshima (Does A Vivid Example Of Destruction Forestall Apocalypse?),Sable,2mo
820,How the ---- did Feynman Get Here !?,George3d6,2mo
821,Conditioning Generative Models for AlignmentΩ,Jozdien,2mo
822,Training goals for large language modelsΩ,Johannes_Treutlein,2mo
823,Reward models can act like they are deceptively aligned,Josh,2mo
824,A distillation of Evan Hubinger's training stories (for SERI MATS)Ω,Daphne_W,2mo
825,Forecasting ML Benchmarks in 2023Ω,jsteinhardt,2mo
826,Addendum: A non-magical explanation of Jeffrey Epstein,lc,2mo
827,"Launching a new progress institute, seeking a CEO",jasoncrawford,2mo
828,Why you might expect homogeneous take-off: evidence from ML researchΩ,Andrei Alexandru,2mo
829,Examples of AI Increasing AI ProgressΩ,ThomasW,2mo
830,Four questions I ask AI safety researchers,Akash,2mo
831,Why I Think Abrupt AI Takeoff,lincolnquirk,2mo
832,Resolve Cycles,CFAR!Duncan,2mo
833,Culture wars in riddle format,Malmesbury,2mo
