,titles,authors
411,"Value extrapolation, concept extrapolation, model splintering",Stuart Armstrong
412,"
[MLSN #3]: NeurIPS Safety Paper Roundup",Dan Hendrycks
413,Projecting compute trends in Machine Learning,"Tamay Besiroglu, Lennart Heim, Jaime Sevilla"
414,"[Intro to brain-like-AGI safety] 6. Big picture of motivation, decision-making, and RL",Steve Byrnes
415,Musings on the Speed Prior,Evan Hubinger
416,[Link] Aligned AI AMA,Stuart Armstrong
417,Late 2021 MIRI Conversations: AMA / Discussion,Rob Bensinger
418,Shah and Yudkowsky on alignment failures,"Rohin Shah, Eliezer Yudkowsky"
419,ELK Thought Dump,Abram Demski
420,How I Formed My Own Views About AI Safety,Neel Nanda
421,"How do new models from OpenAI, DeepMind and Anthropic perform on TruthfulQA?",Owain Evans
422,The Big Picture Of Alignment (Talk Part 2),johnswentworth
423,Transformer inductive biases & RASP,Vivek Hebbar
424,A comment on Ajeya Cotra's draft report on AI timelines,Matthew Barnett
425,Christiano and Yudkowsky on AI predictions and human intelligence,Eliezer Yudkowsky
426,More GPT-3 and symbol grounding,Stuart Armstrong
427,"[Intro to brain-like-AGI safety] 5. The “long-term predictor”, and TD learning",Steve Byrnes
428,ELK Proposal: Thinking Via A Human Imitator,Alex Turner
429,Ngo and Yudkowsky on scientific reasoning and pivotal acts,"Eliezer Yudkowsky, Richard Ngo"
430,Alignment research exercises,Richard Ngo
431,Favorite / most obscure research on understanding DNNs?Q,Vivek Hebbar
432,The Big Picture Of Alignment (Talk Part 1),johnswentworth
433,Two Challenges for ELK,derek shiller
434,"Alignment researchers, how useful is extra compute for you?",Lauro Langosco
